date,climateBar,prices,climate,country
19830101,100,942,2,Greenland
19830102,100,908,2,Greenland
19830103,100,885,2,Greenland
19830104,100,944,2,Greenland
19830105,100,914,2,Greenland
19830106,100,860,2,Greenland
19830107,100,889,2,Greenland
19830108,100,898,2,Greenland
19830109,100,890,2,Greenland
19830110,100,937,2,Greenland
19830111,100,854,2,Greenland
19830112,100,890,2,Greenland
19830113,100,887,2,Greenland
19830114,100,940,2,Greenland
19830115,100,924,2,Greenland
19830116,100,928,2,Greenland
19830117,100,852,2,Greenland
19830118,100,949,2,Greenland
19830119,100,933,2,Greenland
19830120,100,933,2,Greenland
19830121,100,857,2,Greenland
19830122,100,873,2,Greenland
19830123,100,917,2,Greenland
19830124,100,855,2,Greenland
19830125,100,887,2,Greenland
19830126,100,935,2,Greenland
19830127,100,943,2,Greenland
19830128,100,873,2,Greenland
19830129,100,913,2,Greenland
19830130,100,888,2,Greenland
19830131,100,878,2,Greenland
19830201,100,919,0,Greenland
19830202,100,947,0,Greenland
19830203,100,963,0,Greenland
19830204,100,908,0,Greenland
19830205,100,943,0,Greenland
19830206,100,992,0,Greenland
19830207,100,930,0,Greenland
19830208,100,907,0,Greenland
19830209,100,919,0,Greenland
19830210,100,923,0,Greenland
19830211,100,917,0,Greenland
19830212,100,987,0,Greenland
19830213,100,923,0,Greenland
19830214,100,920,0,Greenland
19830215,100,963,0,Greenland
19830216,100,924,0,Greenland
19830217,100,988,0,Greenland
19830218,100,972,0,Greenland
19830219,100,996,0,Greenland
19830220,100,988,0,Greenland
19830221,100,995,0,Greenland
19830222,100,932,0,Greenland
19830223,100,971,0,Greenland
19830224,100,962,0,Greenland
19830225,100,937,0,Greenland
19830226,100,934,0,Greenland
19830227,100,994,0,Greenland
19830228,100,965,0,Greenland
19830229,100,923,0,Greenland
19830301,100,850,1,Greenland
19830302,100,830,1,Greenland
19830303,100,843,1,Greenland
19830304,100,826,1,Greenland
19830305,100,847,1,Greenland
19830306,100,842,1,Greenland
19830307,100,841,1,Greenland
19830308,100,807,1,Greenland
19830309,100,839,1,Greenland
19830310,100,811,1,Greenland
19830311,100,831,1,Greenland
19830312,100,807,1,Greenland
19830313,100,802,1,Greenland
19830314,100,800,1,Greenland
19830315,100,845,1,Greenland
19830316,100,821,1,Greenland
19830317,100,845,1,Greenland
19830318,100,839,1,Greenland
19830319,100,808,1,Greenland
19830320,100,800,1,Greenland
19830321,100,800,1,Greenland
19830322,100,847,1,Greenland
19830323,100,813,1,Greenland
19830324,100,845,1,Greenland
19830325,100,839,1,Greenland
19830326,100,833,1,Greenland
19830327,100,836,1,Greenland
19830328,100,824,1,Greenland
19830329,100,811,1,Greenland
19830330,100,827,1,Greenland
19830331,100,811,1,Greenland
19830401,100,944,0,Greenland
19830402,100,954,0,Greenland
19830403,100,958,0,Greenland
19830404,100,930,0,Greenland
19830405,100,933,0,Greenland
19830406,100,961,0,Greenland
19830407,100,906,0,Greenland
19830408,100,913,0,Greenland
19830409,100,982,0,Greenland
19830410,100,916,0,Greenland
19830411,100,996,0,Greenland
19830412,100,924,0,Greenland
19830413,100,970,0,Greenland
19830414,100,939,0,Greenland
19830415,100,980,0,Greenland
19830416,100,965,0,Greenland
19830417,100,948,0,Greenland
19830418,100,970,0,Greenland
19830419,100,940,0,Greenland
19830420,100,961,0,Greenland
19830421,100,942,0,Greenland
19830422,100,920,0,Greenland
19830423,100,931,0,Greenland
19830424,100,925,0,Greenland
19830425,100,985,0,Greenland
19830426,100,971,0,Greenland
19830427,100,917,0,Greenland
19830428,100,994,0,Greenland
19830429,100,926,0,Greenland
19830430,100,922,0,Greenland
19830501,100,987,0,Greenland
19830502,100,999,0,Greenland
19830503,100,908,0,Greenland
19830504,100,923,0,Greenland
19830505,100,981,0,Greenland
19830506,100,987,0,Greenland
19830507,100,914,0,Greenland
19830508,100,973,0,Greenland
19830509,100,914,0,Greenland
19830510,100,912,0,Greenland
19830511,100,913,0,Greenland
19830512,100,922,0,Greenland
19830513,100,912,0,Greenland
19830514,100,959,0,Greenland
19830515,100,984,0,Greenland
19830516,100,946,0,Greenland
19830517,100,906,0,Greenland
19830518,100,944,0,Greenland
19830519,100,974,0,Greenland
19830520,100,990,0,Greenland
19830521,100,933,0,Greenland
19830522,100,913,0,Greenland
19830523,100,986,0,Greenland
19830524,100,991,0,Greenland
19830525,100,944,0,Greenland
19830526,100,951,0,Greenland
19830527,100,985,0,Greenland
19830528,100,902,0,Greenland
19830529,100,921,0,Greenland
19830530,100,931,0,Greenland
19830531,100,967,0,Greenland
19830601,100,823,1,Greenland
19830602,100,813,1,Greenland
19830603,100,842,1,Greenland
19830604,100,824,1,Greenland
19830605,100,818,1,Greenland
19830606,100,826,1,Greenland
19830607,100,822,1,Greenland
19830608,100,836,1,Greenland
19830609,100,800,1,Greenland
19830610,100,848,1,Greenland
19830611,100,850,1,Greenland
19830612,100,847,1,Greenland
19830613,100,834,1,Greenland
19830614,100,822,1,Greenland
19830615,100,804,1,Greenland
19830616,100,836,1,Greenland
19830617,100,840,1,Greenland
19830618,100,800,1,Greenland
19830619,100,806,1,Greenland
19830620,100,823,1,Greenland
19830621,100,820,1,Greenland
19830622,100,807,1,Greenland
19830623,100,844,1,Greenland
19830624,100,850,1,Greenland
19830625,100,847,1,Greenland
19830626,100,811,1,Greenland
19830627,100,833,1,Greenland
19830628,100,812,1,Greenland
19830629,100,849,1,Greenland
19830630,100,829,1,Greenland
19830701,100,922,0,Greenland
19830702,100,984,0,Greenland
19830703,100,997,0,Greenland
19830704,100,984,0,Greenland
19830705,100,907,0,Greenland
19830706,100,934,0,Greenland
19830707,100,930,0,Greenland
